title,runtimeMinutes,averageRating,numVotes,director,writer,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay,genre-1,genre-2,genre-3,budgetYear,domesticGrossYear,worldwideGrossYear
She's the One,96,6.0,18445,Edward Burns,Edward Burns,3500000,9482579,13795053,1996,8,23,Comedy,Drama,Romance,1753.5070140280561,4750.791082164329,6911.349198396793
Silent Trigger,93,5.3,4428,Russell Mulcahy,Sergio Altieri,15000000,76382,76382,1996,10,12,Action,Drama,Thriller,7515.030060120241,38.26753507014028,38.26753507014028
Sling Blade,135,8.0,98414,Billy Bob Thornton,Billy Bob Thornton,4833610,24475416,34175000,1996,11,20,Drama,NA,NA,2421.6482965931864,12262.232464929859,17121.743486973948
Swingers,96,7.2,87707,Doug Liman,Jon Favreau,200000,4505922,6618578,1996,10,18,Comedy,Drama,NA,100.20040080160321,2257.4759519038075,3315.9208416833667
That Thing You Do!,108,7.0,73235,Tom Hanks,Tom Hanks,2500000,25857416,34557416,1996,10,4,Comedy,Drama,Music,1252.5050100200401,12954.617234468938,17313.334669338677
Trees Lounge,95,7.1,17441,Steve Buscemi,Steve Buscemi,1300000,749741,749741,1996,10,11,Comedy,Drama,NA,651.3026052104209,375.62174348697397,375.62174348697397
Unforgettable,117,6.0,5952,John Dahl,Bill Geddie,18000000,2483790,2483790,1996,2,23,Drama,Mystery,Sci-Fi,9018.036072144288,1244.38376753507,1244.38376753507
Walking and Talking,86,6.7,3911,Nicole Holofcener,Nicole Holofcener,1000000,1287480,1615787,1996,7,17,Comedy,Drama,Romance,501.00200400801606,645.0300601202405,809.5125250501002
8 Heads in a Duffel Bag,95,5.4,11037,Tom Schulman,Tom Schulman,3000000,3602884,4002884,1997,4,18,Adventure,Comedy,Crime,1502.253380070105,1804.1482223335001,2004.4486730095143
Air Force One,124,6.5,208944,Wolfgang Petersen,Andrew W. Marlowe,85000000,172956409,315268353,1997,7,25,Action,Drama,Thriller,42563.84576865298,86608.11667501251,157870.9829744617
Amistad,155,7.3,82360,Steven Spielberg,David Franzoni,40000000,44212592,58250151,1997,12,12,Biography,Drama,History,20030.0450676014,22139.50525788683,29168.82874311467
The Apostle,134,7.2,14837,Robert Duvall,Robert Duvall,5000000,20733485,21277770,1997,12,17,Drama,NA,NA,2503.755633450175,10382.315973960942,10654.867300951428
