title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
The Glimmer Man,91,"Action,Comedy,Crime",5.4,21158,John Gray,Kevin Brodbin,"Oct 4, 1996",45000000,20404841,36404841,1996,10,4
Jerry Maguire,139,"Comedy,Drama,Romance",7.3,285244,Cameron Crowe,Cameron Crowe,"Dec 13, 1996",50000000,153952592,273552592,1996,12,13
Jingle All the Way,89,"Adventure,Comedy,Family",5.7,115754,Brian Levant,Randy Kornfield,"Nov 22, 1996",60000000,60592389,129832389,1996,11,22
Lone Star,135,"Drama,Mystery,Western",7.4,31983,John Sayles,John Sayles,"Jun 21, 1996",5000000,12961389,12961389,1996,6,21
The Long Kiss Goodnight,121,"Action,Crime,Drama",6.8,85239,Renny Harlin,Shane Black,"Oct 11, 1996",65000000,33447612,33447612,1996,10,11
Marvin's Room,98,Drama,6.7,29860,Jerry Zaks,Scott McPherson,"Dec 20, 1996",23000000,12803305,12803305,1996,12,20
Maximum Risk,101,"Action,Crime,Thriller",5.5,23815,Ringo Lam,Larry Ferguson,"Sep 13, 1996",25000000,14102929,51702929,1996,9,13
Michael Collins,133,"Biography,Drama,Thriller",7.1,33572,Neil Jordan,Neil Jordan,"Oct 11, 1996",25000000,11317898,27798183,1996,10,11
Phenomenon,123,"Drama,Fantasy,Romance",6.4,83416,Jon Turteltaub,Gerald Di Pego,"Jul 5, 1996",32000000,104636382,152036382,1996,7,5
Scream,111,"Horror,Mystery",7.4,385600,Wes Craven,Kevin Williamson,"Dec 20, 1996",15000000,103046663,173046640,1996,12,20
Scream,\N,Documentary,6.1,16,Galina Kuvivchak-Sakhno,Galina Kuvivchak-Sakhno,"Dec 20, 1996",15000000,103046663,173046640,1996,12,20
Secrets & Lies,136,"Comedy,Drama",8.0,46884,Mike Leigh,Mike Leigh,"May 24, 1996",4500000,13417292,16090874,1996,5,24
She's the One,96,"Comedy,Drama,Romance",6.0,18445,Edward Burns,Edward Burns,"Aug 23, 1996",3500000,9482579,13795053,1996,8,23
Silent Trigger,93,"Action,Drama,Thriller",5.3,4428,Russell Mulcahy,Sergio Altieri,"Oct 12, 1996",15000000,76382,76382,1996,10,12
Sling Blade,135,Drama,8.0,98414,Billy Bob Thornton,Billy Bob Thornton,"Nov 20, 1996",4833610,24475416,34175000,1996,11,20
Swingers,96,"Comedy,Drama",7.2,87707,Doug Liman,Jon Favreau,"Oct 18, 1996",200000,4505922,6618578,1996,10,18
That Thing You Do!,108,"Comedy,Drama,Music",7.0,73235,Tom Hanks,Tom Hanks,"Oct 4, 1996",2500000,25857416,34557416,1996,10,4
Trees Lounge,95,"Comedy,Drama",7.1,17441,Steve Buscemi,Steve Buscemi,"Oct 11, 1996",1300000,749741,749741,1996,10,11
Unforgettable,117,"Drama,Mystery,Sci-Fi",6.0,5952,John Dahl,Bill Geddie,"Feb 23, 1996",18000000,2483790,2483790,1996,2,23
Walking and Talking,86,"Comedy,Drama,Romance",6.7,3911,Nicole Holofcener,Nicole Holofcener,"Jul 17, 1996",1000000,1287480,1615787,1996,7,17
8 Heads in a Duffel Bag,95,"Adventure,Comedy,Crime",5.4,11037,Tom Schulman,Tom Schulman,"Apr 18, 1997",3000000,3602884,4002884,1997,4,18
Air Force One,124,"Action,Drama,Thriller",6.5,208944,Wolfgang Petersen,Andrew W. Marlowe,"Jul 25, 1997",85000000,172956409,315268353,1997,7,25
Amistad,155,"Biography,Drama,History",7.3,82360,Steven Spielberg,David Franzoni,"Dec 12, 1997",40000000,44212592,58250151,1997,12,12
The Apostle,134,Drama,7.2,14837,Robert Duvall,Robert Duvall,"Dec 17, 1997",5000000,20733485,21277770,1997,12,17
Austin Powers: International Man of Mystery,94,"Adventure,Comedy",7.0,255758,Jay Roach,Mike Myers,"May 2, 1997",18000000,53883989,67683989,1997,5,2
